treatment,size
life_5000,106
life_5000,65
life_5000,1
life_5000,1
life_5000,25
life_5000,7
life_5000,3
life_5000,15
life_5000,56
life_5000,7
life_5000,2
life_5000,11
life_5000,3
life_5000,1
life_5000,3
life_5000,13
life_5000,1
life_5000,33
life_5000,2
life_5000,3
life_5000,1
life_5000,4
life_5000,1
life_5000,12
life_5000,13
life_5000,11
life_5000,148
life_5000,1
life_5000,10
life_5000,11
life_5000,8
life_5000,19
life_5000,37
life_5000,96
life_5000,20
life_5000,24
life_5000,4
life_5000,22
life_5000,107
life_5000,63
life_5000,12
life_5000,18
life_5000,12
life_5000,11
life_5000,11
life_5000,3
life_5000,1
life_5000,23
life_5000,1
life_5000,12
life_5000,3
life_5000,23
life_5000,49
life_5000,5
life_5000,15
life_5000,1
life_5000,30
life_5000,80
life_5000,31
life_5000,39
life_5000,20
life_5000,12
life_5000,11
life_5000,49
life_5000,1
life_5000,21
life_5000,43
life_5000,37
life_5000,36
life_5000,13
life_5000,7
life_5000,6
life_5000,49
life_5000,80
life_5000,4
life_5000,2
life_5000,93
life_5000,15
life_5000,83
life_5000,47
life_5000,6
life_5000,12
life_5000,3
life_5000,1
life_5000,7
life_5000,87
life_5000,9
life_5000,1
life_5000,9
life_5000,28
life_5000,1
life_5000,7
life_5000,37
life_5000,11
life_5000,14
life_5000,54
life_5000,1
life_5000,38
life_5000,30
life_5000,55
life_5000,10
life_5000,73
life_5000,25
life_5000,1
life_5000,36
life_5000,28
life_5000,77
life_5000,38
life_5000,4
life_5000,1
life_5000,27
life_5000,19
life_5000,1
life_5000,27
life_5000,29
life_5000,14
life_5000,81
life_5000,1
life_5000,1
life_5000,1
life_5000,67
life_5000,80
life_5000,73
life_5000,5
life_5000,17
life_5000,20
life_5000,3
life_5000,11
life_5000,40
life_5000,94
life_5000,1
life_5000,2
life_5000,23
life_5000,1
life_5000,7
life_5000,14
life_5000,1
life_5000,1
life_5000,38
life_5000,34
life_5000,32
life_5000,4
life_5000,1
life_5000,58
life_5000,35
life_5000,20
life_5000,18
life_5000,13
life_5000,3
life_5000,83
life_5000,50
life_5000,56
life_5000,1
