treatment,size
distort_10,5
distort_10,51
distort_10,7
distort_10,27
distort_10,20
distort_10,19
distort_10,14
distort_10,5
distort_10,27
distort_10,55
distort_10,2
distort_10,1
distort_10,3
distort_10,3
distort_10,3
distort_10,50
distort_10,1
distort_10,2
distort_10,3
distort_10,3
distort_10,7
distort_10,3
distort_10,3
distort_10,37
distort_10,49
distort_10,44
distort_10,12
distort_10,43
distort_10,1
distort_10,1
distort_10,2
distort_10,14
distort_10,15
distort_10,13
distort_10,1
distort_10,6
distort_10,1
distort_10,1
distort_10,13
distort_10,27
distort_10,7
distort_10,11
distort_10,1
distort_10,1
distort_10,19
distort_10,10
distort_10,2
distort_10,3
distort_10,3
distort_10,2
distort_10,22
distort_10,1
distort_10,14
distort_10,2
distort_10,1
distort_10,1
distort_10,1
distort_10,15
distort_10,3
distort_10,4
distort_10,2
distort_10,1
distort_10,2
distort_10,1
distort_10,18
distort_10,1
distort_10,3
distort_10,15
distort_10,6
distort_10,1
distort_10,1
distort_10,19
distort_10,13
distort_10,29
distort_10,11
distort_10,50
distort_10,4
distort_10,39
distort_10,1
distort_10,6
distort_10,6
distort_10,6
distort_10,6
distort_10,1
distort_10,25
distort_10,27
distort_10,1
distort_10,45
distort_10,13
distort_10,3
distort_10,21
distort_10,1
distort_10,5
distort_10,1
distort_10,3
distort_10,2
distort_10,1
distort_10,1
distort_10,1
distort_10,1
distort_10,1
distort_10,14
distort_10,33
distort_10,1
distort_10,1
distort_10,26
distort_10,8
distort_10,6
distort_10,2
distort_10,1
distort_10,36
distort_10,29
distort_10,11
distort_10,4
distort_10,1
distort_10,11
distort_10,1
distort_10,1
distort_10,15
distort_10,16
distort_10,24
distort_10,1
distort_10,13
distort_10,2
distort_10,22
distort_10,33
distort_10,12
distort_10,7
distort_10,25
distort_10,1
distort_10,24
distort_10,45
distort_10,2
distort_10,1
distort_10,14
distort_10,9
distort_10,2
distort_10,2
distort_10,3
distort_10,3
distort_10,14
distort_10,1
distort_10,1
distort_10,11
distort_10,61
distort_10,18
distort_10,30
distort_10,32
distort_10,1
distort_10,1
distort_10,1
distort_10,20
distort_10,14
distort_10,15
distort_10,34
distort_10,21
distort_10,17
distort_10,37
distort_10,19
distort_10,3
distort_10,1
distort_10,7
distort_10,4
distort_10,7
distort_10,2
distort_10,9
distort_10,1
distort_10,23
distort_10,20
distort_10,2
distort_10,3
distort_10,1
distort_10,50
distort_10,34
distort_10,42
distort_10,22
distort_10,31
distort_10,5
distort_10,64
distort_10,17
distort_10,11
distort_10,9
distort_10,1
distort_10,3
distort_10,3
distort_10,23
distort_10,4
distort_10,3
distort_10,3
distort_10,1
distort_10,45
distort_10,12
distort_10,13
distort_10,61
distort_10,1
distort_10,23
distort_10,12
distort_10,8
distort_10,1
distort_10,4
distort_10,8
distort_10,1
distort_10,1
distort_10,10
distort_10,1
distort_10,13
distort_10,1
distort_10,3
distort_10,7
distort_10,22
distort_10,25
distort_10,1
distort_10,5
distort_10,24
distort_10,23
distort_10,3
distort_10,2
distort_10,14
distort_10,18
distort_10,27
distort_10,31
distort_10,3
distort_10,15
distort_10,2
distort_10,22
distort_10,3
distort_10,4
distort_10,1
distort_10,2
distort_10,34
distort_10,1
distort_10,1
distort_10,1
distort_10,1
distort_10,1
distort_10,18
distort_10,37
distort_10,34
distort_10,11
distort_10,1
distort_10,18
distort_10,18
distort_10,6
distort_10,1
distort_10,33
distort_10,26
distort_10,40
distort_10,1
distort_10,35
distort_10,6
distort_10,7
distort_10,1
distort_10,25
distort_10,7
distort_10,1
distort_10,11
distort_10,4
distort_10,1
distort_10,1
distort_10,11
distort_10,5
distort_10,66
distort_10,9
distort_10,80
distort_10,9
distort_10,3
distort_10,3
distort_10,1
distort_10,3
distort_10,4
distort_10,3
distort_10,51
distort_10,1
distort_10,2
distort_10,44
distort_10,3
distort_10,89
distort_10,29
distort_10,33
distort_10,1
distort_10,67
distort_10,40
distort_10,30
distort_10,31
distort_10,8
distort_10,3
distort_10,38
distort_10,57
distort_10,2
distort_10,2
distort_10,2
distort_10,2
distort_10,25
distort_10,1
distort_10,1
distort_10,18
distort_10,3
distort_10,1
distort_10,1
distort_10,1
distort_10,20
distort_10,13
distort_10,1
distort_10,1
distort_10,10
distort_10,11
distort_10,28
distort_10,1
distort_10,1
distort_10,44
distort_10,1
distort_10,6
distort_10,4
distort_10,30
distort_10,2
distort_10,6
distort_10,1
distort_10,20
distort_10,12
distort_10,6
distort_10,4
distort_10,1
distort_10,21
distort_10,1
distort_10,35
distort_10,19
distort_10,1
distort_10,37
distort_10,30
distort_10,1
distort_10,32
distort_10,1
distort_10,3
distort_10,13
distort_10,1
distort_10,7
distort_10,7
distort_10,1
distort_10,2
distort_10,1
distort_10,38
distort_10,24
distort_10,52
distort_10,44
distort_10,43
distort_10,1
distort_10,23
distort_10,1
distort_10,12
distort_10,45
distort_10,10
distort_10,22
distort_10,4
distort_10,7
distort_10,30
distort_10,31
distort_10,10
distort_10,14
distort_10,29
distort_10,34
distort_10,18
distort_10,1
distort_10,40
distort_10,24
distort_10,13
distort_10,13
distort_10,12
distort_10,20
distort_10,3
distort_10,2
distort_10,3
distort_10,2
distort_10,22
distort_10,1
distort_10,2
distort_10,5
distort_10,4
distort_10,1
distort_10,14
distort_10,11
distort_10,19
distort_10,5
distort_10,15
distort_10,1
distort_10,1
distort_10,28
distort_10,23
distort_10,19
distort_10,1
distort_10,1
distort_10,35
distort_10,4
distort_10,5
distort_10,1
distort_10,1
distort_10,26
distort_10,1
distort_10,10
distort_10,1
distort_10,40
distort_10,55
distort_10,7
distort_10,3
distort_10,24
distort_10,22
distort_10,14
distort_10,21
distort_10,1
distort_10,21
distort_10,22
distort_10,4
distort_10,1
distort_10,2
distort_10,2
distort_10,1
distort_10,58
distort_10,4
distort_10,6
distort_10,7
distort_10,74
distort_10,1
distort_10,1
distort_10,1
distort_10,1
distort_10,14
distort_10,6
distort_10,34
distort_10,1
distort_10,7
distort_10,3
distort_10,50
distort_10,2
distort_10,1
distort_10,26
distort_10,11
distort_10,6
distort_10,27
distort_10,8
distort_10,1
distort_10,1
distort_10,25
distort_10,1
distort_10,1
distort_10,15
distort_10,12
distort_10,1
distort_10,1
distort_10,21
distort_10,8
distort_10,32
distort_10,7
distort_10,58
distort_10,1
distort_10,1
distort_10,58
distort_10,1
distort_10,1
distort_10,16
distort_10,1
distort_10,2
distort_10,34
distort_10,37
distort_10,4
distort_10,20
distort_10,17
distort_10,3
distort_10,3
distort_10,3
distort_10,3
distort_10,40
distort_10,23
distort_10,38
distort_10,9
distort_10,1
distort_10,1
distort_10,53
distort_10,16
distort_10,1
distort_10,7
distort_10,11
distort_10,7
distort_10,6
distort_10,5
distort_10,4
distort_10,1
distort_10,4
distort_10,1
distort_10,27
distort_10,13
distort_10,1
